,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp)
3180,Ahmedabad,2015,47001,CNG,Manual,First,5,5.36 Lakh,3.72,MARUTI,20,1196,63
3181,Chennai,2014,52000,Petrol,Manual,First,5,5.51 Lakh,3.45,MARUTI,22.5,998,67.04
3182,Kolkata,2013,43284,Diesel,Manual,First,5,,4.5,MARUTI,23.4,1248,74
3183,Coimbatore,2018,23875,Petrol,Automatic,First,5,,14.36,HYUNDAI,13,1591,121.3
3184,Bangalore,2016,51866,Petrol,Manual,First,5,,5.5,HYUNDAI,18.9,1197,82
3185,Mumbai,2013,69000,Diesel,Manual,First,5,,3,NISSAN,23.08,1461,63.1
3186,Coimbatore,2017,62788,Petrol,Manual,First,5,8.1 Lakh,6.08,HYUNDAI,18.9,1197,81.86
3187,Chennai,2013,150000,Diesel,Manual,First,5,,5,VOLKSWAGEN,20.54,1598,103.6
3188,Kochi,2015,47566,Diesel,Automatic,First,7,,20.25,TOYOTA,12.55,2982,168.5
3189,Chennai,2002,67000,Petrol,Manual,Third,5,,1.2,HYUNDAI,0,999,NULL
3190,Pune,2018,20300,Diesel,Automatic,First,7,20.97 Lakh,18,TOYOTA,11.36,2755,171.5
3191,Pune,2015,48300,Diesel,Automatic,First,5,,17.5,MERCEDES-BENZ,20,2143,107.3
3192,Pune,2013,30000,Petrol,Manual,First,5,,2.1,HYUNDAI,21.1,814,55.2
3193,Bangalore,2012,36000,Diesel,Manual,Second,5,,7.5,HYUNDAI,22.7,1582,126.24
3194,Kochi,2015,27641,Diesel,Automatic,Second,4,34.89 Lakh,24.77,MINI,20.7,1496,113.98
3195,Bangalore,2015,60000,Diesel,Manual,First,5,,8.65,RENAULT,19.64,1461,108.45
3196,Chennai,2019,9000,Diesel,Automatic,First,7,,35.5,FORD,10.91,3198,197
3197,Delhi,2014,60750,Petrol,Manual,First,5,,10.5,TOYOTA,14.28,1798,138.03
3198,Delhi,2018,9000,Diesel,Manual,First,7,16.4 Lakh,13,MAHINDRA,14,2179,155
3199,Kolkata,2012,41100,Diesel,Automatic,First,5,1.66 Cr,26.5,BMW,16.77,2993,261.49
3200,Ahmedabad,2004,60000,Petrol,Manual,Second,5,,1.4,MARUTI,17.3,1061,64
3201,Kochi,2017,38424,Petrol,Manual,First,5,,7.51,HONDA,17.8,1497,117.3
3202,Delhi,2014,50000,Diesel,Manual,First,5,,4.3,MARUTI,22.9,1248,74
3203,Mumbai,2015,19000,Petrol,Automatic,First,5,15.29 Lakh,8.95,HONDA,18,1497,117.3
3204,Kochi,2015,58734,Diesel,Manual,First,7,,6.91,MARUTI,20.77,1248,88.76
3205,Coimbatore,2016,65257,Diesel,Manual,First,5,,9.75,RENAULT,19.01,1461,108.45
3206,Jaipur,2010,130000,Diesel,Manual,Second,5,,4,MARUTI,19.3,1248,73.9
3207,Hyderabad,2011,79000,Diesel,Manual,First,5,,3.65,MARUTI,23.2,1248,73.94
3208,Chennai,2013,78000,Diesel,Manual,First,7,,10.75,MAHINDRA,15.1,2179,140
3209,Kochi,2015,49133,Petrol,Manual,First,5,,4.51,HONDA,19.4,1198,86.8
3210,Coimbatore,2016,22769,Diesel,Automatic,First,5,,49.22,MERCEDES-BENZ,0,2987,165
3211,Coimbatore,2014,54448,Diesel,Manual,First,5,,3.7,TATA,21.02,1248,88.8
3212,Hyderabad,2014,158793,Diesel,Manual,First,7,,12.99,TOYOTA,12.8,2494,102
3213,Delhi,2015,62088,Petrol,Manual,First,5,,4.15,MARUTI,18.6,1197,85.8
3214,Kolkata,2012,14800,Petrol,Manual,First,5,,4.4,HYUNDAI,17.01,1591,121.3
3215,Kolkata,2015,26000,Petrol,Manual,First,7,,4.25,HONDA,17.3,1497,117.3
3216,Mumbai,2017,32005,Petrol,Manual,First,5,,4.25,HONDA,18,1198,86.7
3217,Jaipur,2017,35000,Petrol,Automatic,First,5,14.67 Lakh,7.7,HONDA,18,1497,117.3
3218,Pune,2015,52000,Diesel,Automatic,First,5,,39.75,LAND,12.7,2179,187.7
3219,Mumbai,2017,11000,Petrol,Manual,First,5,12.57 Lakh,8.5,HONDA,17.4,1497,117.3
3220,Jaipur,2008,62000,Petrol,Automatic,First,5,,7,MERCEDES-BENZ,9.5,2997,231.1
3221,Chennai,2002,65134,Petrol,Manual,Third,5,,0.8,FORD,13.8,1299,70
3222,Delhi,2013,71000,Diesel,Manual,First,7,,15.25,TOYOTA,13,2982,168.5
3223,Hyderabad,2008,51366,Petrol,Manual,First,5,,2.25,MARUTI,19,998,66.1
3224,Kolkata,2016,46300,Diesel,Manual,First,7,,4.85,TATA,14.07,1948,83.1
3225,Coimbatore,2012,60908,Petrol,Automatic,Second,5,,6.42,HONDA,15.6,1497,116.3
3226,Chennai,2012,93450,Diesel,Manual,Second,5,9.48 Lakh,2.5,NISSAN,23.19,1461,63.12
3227,Hyderabad,2011,104000,Diesel,Automatic,First,5,,5.75,HYUNDAI,19.08,1582,126.32
3228,Pune,2003,52000,Petrol,Manual,First,4,,0.5,MARUTI,16.1,796,37
3229,Coimbatore,2015,42999,Diesel,Manual,First,7,,11.52,MAHINDRA,15.1,2179,140
3230,Delhi,2014,90000,Diesel,Manual,First,5,,4.5,MARUTI,21.5,1248,88.8
3231,Bangalore,2013,72000,Petrol,Automatic,First,5,,4.75,HYUNDAI,15,1396,98.6
3232,Coimbatore,2019,54321,Diesel,Manual,First,5,,13.54,HYUNDAI,19.67,1582,126.2
3233,Kochi,2015,59630,Diesel,Automatic,First,5,,23.41,MERCEDES-BENZ,13,2143,201.1
3234,Hyderabad,2013,116000,Diesel,Automatic,Second,7,,19.25,TOYOTA,12.55,2982,168.5
3235,Ahmedabad,2015,34000,Diesel,Automatic,First,5,,20,VOLVO,9,1984,181
3236,Delhi,2011,70000,Diesel,Automatic,First,5,,13,MERCEDES-BENZ,14.21,2143,203
3237,Chennai,2010,80000,Petrol,Manual,First,5,,3.99,HONDA,10.2,2354,180
3238,Pune,2015,110000,Diesel,Manual,First,5,,4.65,HONDA,25.8,1498,98.6
3239,Ahmedabad,2013,56454,Diesel,Manual,First,5,8.95 Lakh,4.65,MARUTI,28.4,1248,73.75
3240,Kolkata,2013,60000,Petrol,Manual,First,5,,3.15,MARUTI,18.6,1197,85.8
3241,Delhi,2013,56000,Petrol,Automatic,First,5,,8.25,TOYOTA,14.53,1798,138.1
3242,Bangalore,2012,63000,Diesel,Automatic,Second,5,,65,LAND,11.49,4367,335.3
3243,Chennai,2012,63000,Diesel,Manual,First,5,,4.5,MARUTI,22.9,1248,74
3244,Kolkata,2017,15050,Diesel,Manual,First,5,23.19 Lakh,17.5,JEEP,16.3,1956,170
3245,Mumbai,2016,29401,Petrol,Manual,First,5,,4.31,MARUTI,20.4,1197,81.8
3246,Kochi,2016,25238,Petrol,Manual,First,5,,6.2,HONDA,18.7,1199,88.7
3247,Chennai,2011,79000,Diesel,Manual,First,5,,4.67,TOYOTA,23.59,1364,NULL
3248,Kochi,2011,58752,Petrol,Manual,First,5,,3.32,VOLKSWAGEN,16.47,1198,73.9
3249,Delhi,2011,62000,Petrol,Automatic,First,5,,3.75,HONDA,12.9,1799,130
3250,Bangalore,2013,132000,Petrol,Manual,First,5,,4.7,TOYOTA,16.78,1496,88.73
3251,Chennai,2016,51000,Petrol,Manual,First,5,,6.5,HYUNDAI,17.01,1591,121.3
3252,Hyderabad,2009,185200,Diesel,Manual,First,8,,7.25,TOYOTA,12.8,2494,102
3253,Coimbatore,2016,61717,Diesel,Manual,First,5,,8.94,MARUTI,22.7,1598,118
3254,Kolkata,2018,8896,Petrol,Manual,First,5,8.24 Lakh,7.34,FORD,19,1194,94.68
3255,Delhi,2016,17000,Petrol,Manual,First,5,,6.9,MARUTI,21.4,1197,83.1
3256,Mumbai,2016,31378,Petrol,Manual,First,5,8.71 Lakh,5.9,HONDA,18.2,1199,88.7
3257,Pune,2013,114000,Diesel,Automatic,First,5,,6.75,HYUNDAI,22.32,1582,126.3
3258,Ahmedabad,2014,81000,Diesel,Manual,First,5,,4.1,HONDA,25.8,1498,98.6
3259,Mumbai,2017,31000,Diesel,Automatic,First,5,44.75 Lakh,27,AUDI,18.51,1968,147.51
3260,Mumbai,2014,35000,Petrol,Manual,First,5,,4.5,SKODA,15,1598,103.52
3261,Kolkata,2013,60001,Diesel,Automatic,First,5,,14.5,AUDI,17.11,1968,174.33
3262,Jaipur,2014,75074,Diesel,Manual,First,5,,5.25,MARUTI,23.4,1248,74
3263,Kolkata,2012,80000,Diesel,Manual,Second,5,,1.2,TATA,22.3,1248,74
3264,Jaipur,2006,147350,Diesel,Manual,Second,8,,4.95,TOYOTA,12.99,2494,100.6
3265,Hyderabad,2013,60000,Diesel,Manual,First,5,,7.5,RENAULT,19.64,1461,108.45
3266,Kolkata,2015,7501,Petrol,Automatic,First,4,87.57 Lakh,48,MERCEDES-BENZ,10,2996,333
3267,Delhi,2015,58000,Diesel,Manual,First,5,,4.45,HONDA,25.8,1498,98.6
3268,Coimbatore,2018,29277,Diesel,Automatic,First,5,95.13 Lakh,59.65,MERCEDES-BENZ,11.57,2987,254.79
3269,Kochi,2015,57034,Diesel,Manual,First,5,,4.38,MARUTI,23.2,1248,73.94
3270,Kochi,2016,40810,Diesel,Manual,First,5,,7.9,MARUTI,28.09,1248,88.5
3271,Bangalore,2008,35268,Petrol,Manual,Second,5,,1.88,HYUNDAI,0,1086,62
3272,Mumbai,2008,81000,Diesel,Automatic,Second,,,10.5,BMW,18.48,NAN,NAN
3273,Coimbatore,2018,34630,Petrol,Automatic,First,5,8.57 Lakh,7.29,MARUTI,21.4,1197,83.1
3274,Hyderabad,2012,45122,Diesel,Manual,First,5,,6,FORD,23.5,1498,88.7
3275,Chennai,2011,126000,Diesel,Manual,Third,7,,6.7,MAHINDRA,16,2179,140
3276,Jaipur,2009,63000,Petrol,Manual,First,5,,1.5,MARUTI,19.7,796,46.3
3277,Kochi,2016,32298,Diesel,Automatic,First,4,35 Lakh,23.8,MINI,20.7,1496,113.98
3278,Kochi,2014,63288,Diesel,Manual,First,7,,7.77,MAHINDRA,15.1,2179,140
3279,Coimbatore,2012,43337,Petrol,Manual,First,5,,3.32,HYUNDAI,17.92,1086,62.1
3280,Kochi,2015,46561,Diesel,Manual,First,5,,4.94,MARUTI,22.9,1248,74
3281,Delhi,2013,34000,Diesel,Automatic,Second,5,,11,MERCEDES-BENZ,20,2143,107.3
3282,Hyderabad,2016,48000,Petrol,Manual,First,5,,3.4,RENAULT,25.17,799,53.3
3283,Kochi,2013,56263,Diesel,Manual,First,5,,4.17,MARUTI,22.9,1248,74
3284,Hyderabad,2005,84060,Petrol,Manual,Second,5,,1.25,MARUTI,17.3,993,60
3285,Mumbai,2016,9000,Petrol,Automatic,First,5,,5.45,HYUNDAI,18.9,1197,82
3286,Jaipur,2012,79000,Diesel,Manual,First,5,,2.59,TATA,21.12,1248,88.8
3287,Pune,2015,87900,Diesel,Manual,First,7,,12.01,MAHINDRA,16,2179,140
3288,Delhi,2010,72425,Petrol,Manual,Second,5,,2.45,MARUTI,17.5,1197,85.8
3289,Bangalore,2015,38000,Diesel,Automatic,First,5,,29,AUDI,15.73,1968,174.33
3290,Hyderabad,2008,83000,Diesel,Manual,Second,5,,2.4,FORD,17.8,1399,NULL
3291,Hyderabad,2010,107000,Diesel,Automatic,First,5,,11.99,MERCEDES-BENZ,14.84,2143,170
3292,Delhi,2015,51000,Petrol,Automatic,First,5,,7.9,HONDA,18,1497,117.3
3293,Pune,2010,140000,Diesel,Manual,Third,7,,6.25,TOYOTA,12.8,2494,102
3294,Pune,2011,48000,Petrol,Manual,Second,5,,1.8,CHEVROLET,18.6,1199,79.4
3295,Delhi,2013,62000,CNG,Manual,First,5,,2.8,MARUTI,26.6,998,58.16
3296,Mumbai,2015,31000,Petrol,Manual,First,5,,4.9,HONDA,18.7,1199,88.7
3297,Jaipur,2010,75055,Petrol,Manual,First,5,,2.25,NISSAN,18.06,1198,75
3298,Coimbatore,2017,51210,Petrol,Automatic,First,5,,8.89,MARUTI,19.12,1373,91.1
3299,Mumbai,2012,87000,Diesel,Automatic,First,7,,15,TOYOTA,12.55,2982,168.5
3300,Kolkata,2018,17000,Diesel,Manual,First,5,7.56 Lakh,5.65,FORD,26.1,1498,99
3301,Jaipur,2014,57000,Diesel,Manual,First,7,,7,MARUTI,20.77,1248,88.8
3302,Hyderabad,2016,9370,Petrol,Manual,First,5,,2.95,MARUTI,22.74,796,47.3
3303,Chennai,2013,53226,Petrol,Manual,First,5,,3.3,HONDA,19.4,1198,86.8
3304,Hyderabad,2010,120000,Diesel,Manual,Second,5,,3.5,HYUNDAI,16.2,1493,110
3305,Jaipur,2007,75055,Petrol,Manual,First,5,,2.3,HONDA,12.8,1493,100
3306,Coimbatore,2017,37247,Diesel,Manual,First,5,,13.69,HYUNDAI,19.67,1582,126.2
3307,Delhi,2013,64000,Diesel,Manual,First,5,,3.1,TOYOTA,23.59,1364,67.06
3308,Mumbai,2014,12000,Petrol,Manual,First,5,,12.75,HYUNDAI,13.44,2359,198.25
3309,Pune,2017,40158,Diesel,Manual,First,5,,13.75,HYUNDAI,19.67,1582,126.2
3310,Chennai,2017,11000,Petrol,Manual,First,5,,6.75,HONDA,18.7,1199,88.7
3311,Chennai,2014,70010,Diesel,Manual,First,5,,5.25,VOLKSWAGEN,20.54,1598,103.6
3312,Mumbai,2015,82000,Diesel,Manual,First,7,,8.75,MAHINDRA,16,2179,140
3313,Kochi,2017,57259,Diesel,Manual,First,7,,8.87,MAHINDRA,18.49,1493,100
3314,Bangalore,2010,84000,Petrol,Automatic,Second,5,,6.5,HONDA,11.1,2354,142
3315,Pune,2012,168000,Diesel,Manual,First,7,,4.5,MARUTI,20.77,1248,88.76
3316,Hyderabad,2012,73670,Diesel,Manual,First,7,,12.5,MAHINDRA,12.83,2696,162
3317,Delhi,2014,89540,Diesel,Automatic,First,7,,16.8,TOYOTA,12.55,2982,168.5
3318,Hyderabad,2016,85423,Diesel,Manual,First,7,,8.75,MARUTI,20.77,1248,88.8
3319,Pune,2013,48823,Diesel,Automatic,First,5,,8.5,HYUNDAI,19.5,1582,126.24
3320,Kolkata,2011,35082,Petrol,Manual,First,5,,2.21,HYUNDAI,20.36,1197,78.9
3321,Jaipur,2012,126000,Petrol,Manual,First,5,,1.6,MARUTI,16.8,796,34.2
3322,Delhi,2016,19000,Petrol,Automatic,First,5,,6.25,HONDA,15.5,1198,86.7
3323,Mumbai,2007,69000,Petrol,Automatic,Second,5,,2.25,HONDA,12.9,1799,130
3324,Kochi,2019,29836,Diesel,Automatic,First,5,43.07 Lakh,25.75,MERCEDES-BENZ,17.9,2143,136
3325,Ahmedabad,2010,48002,Petrol,Manual,Second,5,,6.75,SKODA,13.14,1798,157.8
3326,Ahmedabad,2015,52324,Diesel,Manual,First,5,,6.25,MARUTI,28.09,1248,88.5
3327,Delhi,2013,65000,Diesel,Manual,First,5,,5.1,FORD,22.7,1498,89.84
3328,Mumbai,2009,66000,Diesel,Automatic,Second,5,,10.75,MERCEDES-BENZ,8.7,2987,224.34
3329,Hyderabad,2016,75700,Diesel,Manual,First,5,,5.7,HYUNDAI,24,1120,70
3330,Bangalore,2013,43000,Diesel,Manual,First,5,,5.95,VOLKSWAGEN,20.5,1598,105
3331,Kochi,2012,42706,Diesel,Manual,First,5,,2.4,CHEVROLET,25.44,936,56.3
3332,Mumbai,2013,35000,Diesel,Manual,First,7,,3.49,MAHINDRA,17.21,1493,100
3333,Hyderabad,2011,54348,Petrol,Automatic,First,5,,4,HYUNDAI,19.2,1197,80
3334,Delhi,2013,84000,Diesel,Manual,First,5,7.83 Lakh,3.85,TOYOTA,23.59,1364,67.04
3335,Mumbai,2010,63298,Petrol,Automatic,First,5,,3.95,TOYOTA,14.53,1794,138.1
3336,Jaipur,2013,75049,Petrol,Manual,Second,5,,3,HYUNDAI,20.36,1197,78.9
3337,Kochi,2018,24237,Petrol,Manual,First,5,,6.7,FORD,18.16,1196,86.8
3338,Coimbatore,2016,22767,Petrol,Manual,First,5,,6.14,MARUTI,18.5,1197,85.8
3339,Bangalore,2012,58000,Petrol,Automatic,Second,5,,4.4,HYUNDAI,15,1396,98.6
3340,Pune,2017,57000,Diesel,Manual,First,5,,4.25,MARUTI,26.59,1248,74
3341,Kochi,2010,50161,Petrol,Automatic,First,5,,25.93,BMW,8.77,4395,402
3342,Kolkata,2016,45000,Diesel,Manual,First,5,,7,MARUTI,22.7,1598,118
3343,Coimbatore,2017,68319,Diesel,Automatic,First,7,,25.12,TOYOTA,12.55,2982,168.5
3344,Kochi,2017,30711,Petrol,Manual,First,5,,4.45,HYUNDAI,20.3,998,68.05
3345,Kolkata,2011,38277,Diesel,Manual,First,5,,2.4,HYUNDAI,21.9,1396,90
3346,Pune,2012,115000,Diesel,Manual,Second,5,,4.33,VOLKSWAGEN,20.54,1598,103.6
3347,Coimbatore,2017,46849,Petrol,Automatic,First,5,,6.93,MARUTI,18.5,1197,83.14
3348,Ahmedabad,2014,64000,Diesel,Manual,First,5,,4.25,HYUNDAI,21.9,1396,90
3349,Pune,2010,130923,Diesel,Automatic,First,5,,12.5,MERCEDES-BENZ,14.21,2143,203
3350,Chennai,2015,15000,Petrol,Manual,First,5,,4.9,HYUNDAI,18.9,1197,82
3351,Mumbai,2014,32720,Diesel,Manual,First,5,,4.5,HYUNDAI,23,1396,90
3352,Jaipur,2016,12500,Petrol,Manual,First,5,,3,RENAULT,25.17,799,53.3
3353,Chennai,2015,59800,Petrol,Automatic,First,5,,5.8,HYUNDAI,16.9,1197,82
3354,Pune,2011,54211,Petrol,Manual,First,5,,3.33,VOLKSWAGEN,15.04,1598,103.6
3355,Kochi,2015,62242,Diesel,Automatic,First,5,,6.62,CHEVROLET,14.39,1998,163.7
3356,Mumbai,2015,54000,Diesel,Manual,Second,5,,5.75,NISSAN,19.01,1461,108.5
3357,Hyderabad,2012,65000,Diesel,Manual,First,5,,6.2,HYUNDAI,22.32,1582,126.32
3358,Chennai,2015,55000,Petrol,Automatic,First,5,6 Lakh,3.5,MARUTI,23.1,998,67.04
3359,Pune,2010,71000,Petrol,Manual,First,5,,2,MARUTI,18.9,998,67.1
3360,Chennai,2012,70000,Diesel,Manual,First,5,,4,HYUNDAI,21.9,1396,88.8
3361,Mumbai,2011,53000,Petrol,Automatic,First,5,,9.5,AUDI,12.3,1781,163.2
3362,Mumbai,2013,43000,Diesel,Automatic,First,5,,17.5,BMW,17.05,1995,184
3363,Mumbai,2015,54000,Petrol,Automatic,First,5,,6.11,SKODA,14.3,1598,103.52
3364,Ahmedabad,2014,51000,Petrol,Manual,First,5,,3.75,HYUNDAI,20.36,1197,78.9
3365,Hyderabad,2007,78000,Diesel,Manual,Second,6,,6.2,MITSUBISHI,10.5,2835,107.2
3366,Mumbai,2014,25000,Diesel,Manual,First,5,,6.15,HONDA,26,1498,98.6
3367,Pune,2012,12600,Petrol,Manual,First,5,,2.4,MARUTI,20.92,998,67.1
3368,Pune,2009,80000,Diesel,Manual,Fourth & Above,5,,2.15,MARUTI,17.8,1248,75
3369,Kolkata,2016,21000,Petrol,Manual,First,5,,3.75,HYUNDAI,18.9,1197,82
3370,Mumbai,2011,32000,Petrol,Manual,Second,5,,2.15,FORD,15.6,1196,70
3371,Bangalore,2015,50000,Petrol,Manual,First,5,,4.75,HYUNDAI,18.9,1197,81.86
3372,Mumbai,2010,47500,Petrol,Manual,First,5,,2.45,MARUTI,15.5,1586,103.3
3373,Mumbai,2017,7500,Petrol,Manual,First,5,13.76 Lakh,11.15,HONDA,17.4,1497,117.3
3374,Jaipur,2016,68163,Diesel,Automatic,First,5,14.11 Lakh,8.9,RENAULT,19.6,1461,108.45
3375,Ahmedabad,2014,61000,Diesel,Manual,First,5,,4.35,HONDA,25.8,1498,98.6
3376,Jaipur,2015,100000,Diesel,Manual,Second,7,,12,TOYOTA,12.99,2494,100.6
3377,Mumbai,2009,61500,Diesel,Automatic,Second,5,,8.5,BMW,16.07,1995,181
3378,Kochi,2017,42883,Petrol,Manual,First,5,,4.27,HYUNDAI,19.81,1086,68.05
3379,Jaipur,2012,97000,Diesel,Manual,Second,5,,4.25,RENAULT,20.45,1461,83.8
3380,Bangalore,2010,39525,Petrol,Automatic,First,5,,9.25,MITSUBISHI,11.3,2360,170
3381,Kochi,2017,35384,Diesel,Manual,First,5,9.12 Lakh,8.61,MARUTI,24.3,1248,88.5
3382,Hyderabad,2010,46000,Diesel,Automatic,First,7,,28,MERCEDES-BENZ,11.8,2987,261
3383,Coimbatore,2018,32189,Diesel,Manual,First,5,11.2 Lakh,9.25,FORD,23,1498,98.96
3384,Chennai,2016,27000,Diesel,Automatic,First,5,,8.6,HYUNDAI,19.08,1582,126.2
3385,Coimbatore,2018,22734,Petrol,Manual,First,5,,7.53,VOLKSWAGEN,16.47,1198,74
3386,Mumbai,2014,58002,Diesel,Manual,First,5,,5.75,RENAULT,19.64,1461,108.45
3387,Chennai,2012,31500,Petrol,Automatic,First,5,,4.15,HONDA,16.5,1198,86.8
3388,Coimbatore,2017,30933,Petrol,Manual,First,5,,5.84,FORD,18.16,1196,86.8
3389,Kolkata,2012,27090,Diesel,Automatic,First,5,,16.5,AUDI,18.53,1968,187.74
3390,Mumbai,2015,29500,Diesel,Automatic,First,7,,43,BMW,15.97,2993,258
3391,Pune,2013,45000,Petrol,Manual,First,5,,3.55,HYUNDAI,20.36,1197,78.9
3392,Hyderabad,2018,11691,Petrol,Manual,First,5,,8.9,HYUNDAI,18.6,1197,81.83
3393,Hyderabad,2006,121000,Diesel,Manual,Second,5,,2.5,SKODA,16.4,1896,90
3394,Hyderabad,2010,118077,Diesel,Manual,First,5,,3.85,HYUNDAI,16.2,1493,110
3395,Chennai,2012,36300,Petrol,Automatic,Third,5,,7.5,HYUNDAI,17.1,1591,121.4
3396,Mumbai,2005,90000,Petrol,Manual,Second,5,,1.8,HYUNDAI,15.3,1341,61
3397,Chennai,2010,78000,Diesel,Manual,First,5,,2.25,FORD,20,1399,68
3398,Mumbai,2015,42000,Diesel,Automatic,First,5,,24.25,AUDI,17.68,1968,174.33
3399,Mumbai,2015,27000,Petrol,Manual,First,5,,4.35,VOLKSWAGEN,16.47,1198,74
3400,Kolkata,2012,22000,Diesel,Automatic,First,5,,11.5,BMW,17.05,1995,184
3401,Kolkata,2014,49000,Petrol,Manual,First,5,,4.75,HONDA,17.4,1497,117.3
3402,Hyderabad,2012,42600,Diesel,Manual,First,5,,4.99,HYUNDAI,23,1396,90
3403,Coimbatore,2018,12794,Petrol,Automatic,First,5,,9.15,HONDA,19,1199,88.7
3404,Jaipur,2006,125000,Petrol,Manual,Fourth & Above,,,2.35,MARUTI,16.1,NAN,NAN
3405,Hyderabad,2014,88046,Petrol,Automatic,First,5,,13.99,HONDA,10.1,2354,152
3406,Bangalore,2014,8000,Diesel,Automatic,Second,5,,19.75,MERCEDES-BENZ,20,2143,107.3
3407,Coimbatore,2018,82739,Diesel,Automatic,First,7,,16.77,MAHINDRA,16,2179,140
3408,Bangalore,2006,193000,Diesel,Manual,Third,7,,2.5,MAHINDRA,13.6,2523,63
3409,Mumbai,2013,7000,Petrol,Automatic,First,5,,3.65,RENAULT,17.97,1498,99.6
3410,Ahmedabad,2012,60000,Diesel,Automatic,Second,5,,23.5,LAND,12.35,2179,187.74
3411,Pune,2017,38000,Petrol,Manual,First,5,,3.11,MARUTI,22.74,796,47.3
3412,Kochi,2013,56344,Petrol,Manual,First,5,,4.57,TOYOTA,17.6,1496,88.73
3413,Mumbai,2014,17858,Petrol,Manual,First,5,,5.32,HYUNDAI,17,1197,80
3414,Hyderabad,2012,53000,Petrol,Manual,First,5,,3.2,HYUNDAI,20.36,1197,78.9
3415,Kochi,2016,67906,Diesel,Manual,First,5,,5.63,MARUTI,25.2,1248,74
3416,Hyderabad,2015,19000,Petrol,Manual,First,5,,3,HYUNDAI,21.1,814,55.2
3417,Mumbai,2010,67000,Diesel,Automatic,Second,5,47.87 Lakh,9.25,BMW,22.69,1995,190
3418,Delhi,2011,80000,Diesel,Manual,First,5,,1.2,TATA,23.57,1396,70
3419,Delhi,2015,61000,Petrol,Manual,First,5,,2.15,MARUTI,22.74,796,47.3
3420,Pune,2010,39000,Diesel,Manual,First,5,,3.05,VOLKSWAGEN,22.07,1199,73.9
3421,Ahmedabad,2014,59000,Petrol,Automatic,First,5,,11.5,TOYOTA,14.28,1798,138.03
3422,Hyderabad,2008,80931,Petrol,Manual,First,5,,2.3,HYUNDAI,17.92,1086,62.1
3423,Kolkata,2016,34000,Petrol,Manual,First,5,,4.95,MARUTI,20.4,1197,81.8
3424,Hyderabad,2013,130000,Diesel,Manual,First,5,,4.75,RENAULT,21.64,1461,84.8
3425,Coimbatore,2018,52380,Diesel,Manual,First,5,12.47 Lakh,10.15,MARUTI,24.3,1248,88.5
3426,Kolkata,2011,44000,Petrol,Manual,First,5,,2.65,NISSAN,18.06,1198,75
3427,Hyderabad,2015,84000,Diesel,Manual,First,5,,3.8,FORD,20,1399,68.05
3428,Kochi,2017,41697,Petrol,Automatic,First,5,,16.68,HONDA,13.1,1997,141.1
3429,Pune,2014,163000,Diesel,Manual,First,5,,5,NISSAN,19.01,1461,108.5
3430,Chennai,2011,42000,Petrol,Manual,Second,5,6.51 Lakh,3.75,TOYOTA,17.71,1197,78.9
3431,Jaipur,2013,129000,Diesel,Manual,Third,5,,4.11,HYUNDAI,21.27,1396,88.76
3432,Chennai,2015,32200,Petrol,Manual,Second,5,,4.25,FORD,18.16,1196,86.8
3433,Mumbai,2004,129000,Diesel,Manual,First,6,,3.45,MITSUBISHI,10.5,2835,107.2
3434,Bangalore,2014,40000,Diesel,Automatic,First,5,,22.5,AUDI,17.11,1968,174.33
3435,Delhi,2006,150000,Petrol,Manual,First,8,,4.5,TOYOTA,12.4,1998,132
3436,Jaipur,2007,140000,Petrol,Manual,First,5,,0.9,CHEVROLET,15.26,1150,74.9
3437,Hyderabad,2006,63181,Petrol,Manual,First,5,,1.85,HYUNDAI,15.3,1341,83
3438,Kolkata,2013,39575,Diesel,Manual,First,5,,3.25,HONDA,25.8,1498,98.6
3439,Pune,2010,63600,Diesel,Manual,Second,5,,3.1,MARUTI,17.8,1248,NULL
3440,Coimbatore,2014,70374,Diesel,Manual,First,5,,7.34,FORD,22.7,1498,89.84
3441,Kolkata,2015,26256,Diesel,Manual,First,5,,4.25,VOLKSWAGEN,20.14,1498,88.5
3442,Delhi,2016,13460,Petrol,Manual,First,5,,6.45,HYUNDAI,18.6,1197,81.86
3443,Chennai,2011,122000,Diesel,Manual,Second,8,,10.75,TOYOTA,12.8,2494,102
3444,Kolkata,2015,58589,Diesel,Automatic,First,5,,27.75,MERCEDES-BENZ,15.26,2143,203.2
3445,Jaipur,2005,115000,Petrol,Manual,Second,5,,0.99,MARUTI,17.3,1061,64
3446,Pune,2016,75000,Diesel,Automatic,First,7,,24,FORD,12.62,2198,158
3447,Jaipur,2016,30292,Petrol,Manual,First,5,,6.1,HYUNDAI,18.6,1197,81.86
3448,Ahmedabad,2017,32248,Petrol,Manual,First,5,10.32 Lakh,8.25,HONDA,17.5,1199,88.7
3449,Bangalore,2013,74000,Petrol,Manual,First,5,,4.65,VOLKSWAGEN,16.47,1198,73.9
3450,Mumbai,2014,56100,Petrol,Manual,First,5,,9.75,HONDA,13.7,1997,153.86
3451,Bangalore,2014,61325,Petrol,Manual,First,5,8.1 Lakh,4.4,HYUNDAI,18.9,1197,81.86
3452,Kolkata,2014,33000,Petrol,Manual,First,5,,3.99,MARUTI,19.1,1197,85.8
